Column B vs. Column A_X	Column B vs. Column A_Y
344.169	-0.86808
344.654	0.298653
345.138	1.17311
345.778	2.14735
346.247	2.61678
346.731	3.08724
347.215	3.6659
347.7	4.24109
348.34	4.84663
348.809	5.25078
349.293	5.67128
349.777	6.08351
350.262	6.44706
350.73	6.7574
351.215	7.06119
351.855	7.4584
352.339	7.71788
352.808	7.94855
353.292	8.18429
353.776	8.19621
354.417	8.14782
354.901	8.14724
355.37	5.88041
355.854	2.6021
356.338	3.16692
356.807	5.93434
357.447	8.22062
357.932	8.27881
358.416	8.20268
358.9	8.10557
359.369	8.10731
359.853	8.01755
360.337	7.98497
360.978	8.12973
361.446	8.19882
361.931	8.29949
362.415	8.40268
362.899	8.458
363.54	8.52788
364.008	8.55478
364.493	8.60411
364.977	8.67826
365.461	8.73453
365.93	8.77388
366.414	8.8211
367.055	8.91062
367.539	8.94774
368.007	8.97807
368.492	9.03809
368.976	9.12802
369.46	9.06031
370.101	8.64957
370.569	8.41083
371.054	8.52942
371.538	7.39981
372.022	1.70929
372.647	-2.46589
373.131	-1.47899
373.615	-0.201461
374.1	2.91628
374.568	5.54937
375.053	7.29479
375.693	7.88532
376.177	8.14619
376.662	8.65224
377.13	9.18798
377.615	9.35219
378.099	9.63459
378.739	9.61667
379.208	9.53278
379.692	9.55916
380.176	9.59291
380.661	9.61041
381.301	9.44947
381.77	9.27678
382.254	9.10099
382.738	8.87524
383.379	8.63141
383.847	8.44778
384.332	8.28507
384.816	8.15035
385.3	8.04106
385.769	7.94381
386.409	7.86178
386.894	7.79425
387.378	7.70362
387.862	7.63007
388.331	7.51952
388.815	7.38264
389.455	7.23665
389.94	7.10236
390.408	6.95143
390.893	6.80435
391.377	6.66712
392.017	6.49556
392.502	6.35863
392.97	6.2335
393.455	6.12332
393.939	6.0187
394.579	5.90239
395.048	5.81178
395.532	5.72293
396.016	5.63129
396.501	5.54159
396.969	5.43966
397.61	5.32278
398.094	5.23523
398.578	5.15163
399.063	5.04873
399.531	4.94214
400.172	4.80478
400.656	4.6722
401.14	4.54245
401.609	4.41916
402.093	4.30148
402.734	4.1853
403.218	4.10815
403.702	4.02489
404.171	3.95635
404.655	3.89103
405.139	3.8493
405.78	3.82754
406.248	3.80578
406.733	3.79111
407.217	3.79292
407.701	3.79493
408.342	3.80107
408.81	3.78878
409.295	3.77019
409.779	3.76572
410.419	3.76041
410.888	3.73078
411.372	3.72428
411.856	3.73089
412.341	3.72926
412.981	3.72847
413.45	3.71878
413.934	3.70988
414.418	3.7011
414.903	3.70215
415.543	3.72117
416.012	3.72878
416.496	3.73437
416.98	3.73229
417.449	3.7292
418.089	3.71778
418.574	3.70278
419.058	3.69478
419.542	3.68214
420.011	3.64571
420.651	3.62478
421.136	3.61198
421.62	3.57778
422.088	3.56153
422.573	3.56065
423.213	3.56992
423.697	3.56179
424.182	3.55978
424.65	3.55459
425.135	3.55597
425.619	3.55957
426.259	3.58279
426.728	3.59478
427.212	3.6291
427.696	3.67931
428.181	3.70674
428.649	3.69669
429.29	3.62579
429.774	3.53799
430.258	3.44262
430.743	3.33279
431.211	3.23828
