subtracted_X	subtracted_Y	specific_X	specific_Y	blank_X	blank_Y
1641.32	9.916	1008.03	40.368	1008.03	44.821
1641.8	9.78	1008.51	41.269	1008.51	45.767
1642.29	9.645	1009.14	42.445	1009.14	46.965
1642.75	9.506	1009.62	43.434	1009.62	47.845
1643.24	9.368	1010.11	44.44	1010.11	48.726
1643.88	9.204	1010.59	50.601	1010.59	55.374
1644.36	9.095	1011.06	56.67	1011.06	60.408
1644.85	9.006	1011.7	58.679	1011.7	61.383
1645.32	8.934	1012.18	59.642	1012.18	61.883
1645.8	8.873	1012.67	60.326	1012.67	62.325
1646.44	8.824	1013.15	61.009	1013.15	62.818
1646.93	8.811	1013.62	61.767	1013.62	63.387
1647.39	8.811	1014.26	62.625	1014.26	64.007
1647.88	8.818	1014.75	63.224	1014.75	64.411
1648.52	8.829	1015.23	63.736	1015.23	64.75
1649	8.84	1015.7	64.186	1015.7	65.045
1649.49	8.848	1016.18	64.586	1016.18	65.307
1649.96	8.865	1016.82	65.016	1016.82	65.585
1650.44	8.866	1017.31	65.3	1017.31	65.782
1651.08	8.864	1017.79	65.541	1017.79	65.954
1651.56	8.864	1018.26	65.746	1018.26	66.095
1652.03	8.856	1018.74	65.933	1018.74	66.21
1652.52	8.84	1019.23	66.09	1019.23	66.31
1653	8.834	1019.87	66.242	1019.87	66.395
1653.49	8.826	1020.34	66.33	1020.34	66.43
1654.13	8.82	1020.82	66.394	1020.82	66.45
1654.59	8.822	1021.31	66.439	1021.31	66.461
1655.08	8.822	1021.79	66.459	1021.79	66.45
1655.56	8.83	1022.43	66.471	1022.43	66.428
1656.05	8.832	1022.9	66.46	1022.9	66.396
1656.69	8.821	1023.38	66.441	1023.38	66.359
1657.16	8.8	1023.87	66.415	1023.87	66.321
1657.64	8.776	1024.35	66.284	1024.35	66.281
1658.13	8.741	1024.99	66.001	1024.99	66.524
1658.59	8.7	1025.46	65.722	1025.46	66.771
1659.08	8.667	1025.95	65.381	1025.95	66.972
1659.56	8.63	1026.43	65.01	1026.43	67.085
1660.2	8.58	1026.9	64.585	1026.9	67.064
1660.69	8.54	1027.54	63.691	1027.54	66.855
1661.16	8.515	1028.02	62.354	1028.02	66.6
1661.64	8.494	1028.51	61.789	1028.51	66.254
1662.28	8.479	1028.99	61.489	1028.99	65.382
1662.77	8.467	1029.46	61.076	1029.46	64
1663.23	8.455	1030.1	60.601	1030.1	62.764
1663.72	8.431	1030.59	60.295	1030.59	61.505
1664.2	8.396	1031.07	60.011	1031.07	60.698
1664.69	8.369	1031.54	59.754	1031.54	59.968
1665.33	8.323	1032.02	59.512	1032.02	59.357
1665.8	8.288	1032.66	59.223	1032.66	58.497
1666.28	8.248	1033.15	59.003	1033.15	57.627
1666.76	8.205	1033.63	58.794	1033.63	57.031
1667.25	8.163	1034.1	58.593	1034.1	56.413
1667.89	8.118	1034.58	58.402	1034.58	55.786
1668.36	8.092	1035.22	58.149	1035.22	55.08
1668.84	8.075	1035.71	57.964	1035.71	54.546
1669.33	8.069	1036.19	57.783	1036.19	54.055
1669.97	8.036	1036.66	57.612	1036.66	53.584
1670.44	7.991	1037.15	57.45	1037.15	53.132
1670.92	7.936	1037.79	57.242	1037.79	52.556
1671.4	7.86	1038.27	57.087	1038.27	52.115
1671.89	7.782	1038.74	56.922	1038.74	51.691
1672.53	7.682	1039.22	56.75	1039.22	51.27
1673	7.584	1039.71	56.465	1039.71	50.794
1673.48	7.486	1040.35	55.743	1040.35	50.013
1673.97	7.387	1040.83	55.141	1040.83	49.386
1674.43	7.292	1041.3	54.545	1041.3	48.738
1674.92	7.209	1041.79	50.426	1041.79	43.224
1675.56	7.098	1042.27	47.517	1042.27	38.721
1676.04	7.01	1042.91	45.823	1042.91	36.183
1676.53	6.932	1043.38	44.082	1043.38	34.947
1677	6.863	1043.86	42.731	1043.86	34.16
1677.48	6.806	1044.35	41.716	1044.35	33.576
1678.12	6.722	1044.83	40.926	1044.83	33.06
1678.6	6.669	1045.47	39.915	1045.47	32.261
1679.09	6.608	1045.94	39.226	1045.94	31.665
1679.56	6.555	1046.43	38.765	1046.43	31.118
1680.04	6.518	1046.91	38.19	1046.91	30.593
1680.53	6.475	1047.55	37.534	1047.55	29.949
1681.17	6.437	1048.02	37.053	1048.02	29.464
1681.64	6.429	1048.5	36.614	1048.5	29.005
1682.12	6.443	1048.99	36.204	1048.99	28.566
1682.6	6.464	1049.47	35.818	1049.47	28.139
1683.09	6.49	1049.94	35.437	1049.94	27.719
1683.73	6.518	1050.58	34.979	1050.58	27.206
1684.2	6.527	1051.06	34.64	1051.06	26.814
1684.68	6.538	1051.55	34.336	1051.55	26.451
1685.17	6.55	1052.03	34.045	1052.03	26.109
1685.64	6.57	1052.5	33.77	1052.5	25.789
1686.12	6.59	1053.14	33.415	1053.14	25.38
1686.76	6.617	1053.63	33.153	1053.63	25.081
1687.24	6.633	1054.11	32.901	1054.11	24.804
1687.73	6.647	1054.58	32.673	1054.58	24.542
1688.2	6.662	1055.06	32.474	1055.06	24.286
1688.68	6.682	1055.7	32.14	1055.7	23.864
1689.32	6.723	1056.19	31.572	1056.19	23.256
1689.81	6.764	1056.67	30.971	1056.67	22.553
1690.27	6.807	1057.14	30.444	1057.14	21.911
1690.76	6.844	1057.63	29.676	1057.63	21.176
1691.24	6.887	1058.27	22.168	1058.27	15.64
1691.73	6.931	1058.75	14.811	1058.75	9.58
1692.37	6.981	1059.22	11.217	1059.22	6.42
1692.84	7.024	1059.7	8.884	1059.7	4.246
1693.32	7.053	1060.34	8.814	1060.34	3.681
1693.81	7.082	1060.83	9.247	1060.83	3.957
1694.29	7.091	1061.31	9.703	1061.31	4.313
1694.93	7.092	1061.78	10.129	1061.78	4.612
1695.4	7.097	1062.27	10.695	1062.27	5.02
1695.88	7.098	1062.91	11.701	1062.91	5.668
1696.37	7.103	1063.39	12.581	1063.39	6.29
1696.83	7.106	1063.86	13.388	1063.86	6.95
1697.48	7.115	1064.34	14.185	1064.34	7.634
1697.96	7.126	1064.83	14.925	1064.83	8.315
1698.44	7.141	1065.47	15.791	1065.47	9.133
1698.93	7.167	1065.95	16.478	1065.95	9.776
1699.4	7.19	1066.42	17.158	1066.42	10.38
1699.88	7.219	1066.91	17.806	1066.91	10.929
1700.52	7.258	1067.39	18.326	1067.39	11.329
1701.01	7.284	1068.03	18.805	1068.03	11.673
1701.47	7.309	1068.51	19.029	1068.51	11.797
1701.96	7.321	1068.98	19.128	1068.98	11.815
1702.44	7.33	1069.47	19.124	1069.47	11.766
1702.93	7.332	1069.95	19.035	1069.95	11.648
1703.57	7.333	1070.59	18.815	1070.59	11.427
1704.04	7.326	1071.06	18.561	1071.06	11.217
1704.52	7.329	1071.55	18.288	1071.55	11.003
1705.01	7.33	1072.03	17.993	1072.03	10.797
1705.49	7.323	1072.51	17.679	1072.51	10.585
1705.96	7.314	1072.98	17.365	1072.98	10.384
1706.6	7.305	1073.62	16.945	1073.62	10.139
1707.08	7.291	1074.11	16.611	1074.11	9.957
1707.57	7.283	1074.59	16.297	1074.59	9.796
1708.04	7.281	1075.06	15.984	1075.06	9.638
1708.52	7.288	1075.54	15.677	1075.54	9.481
1709	7.293	1076.03	15.382	1076.03	9.327
1709.65	7.295	1076.67	15.016	1076.67	9.137
1710.13	7.299	1077.15	14.736	1077.15	8.992
1710.6	7.312	1077.62	14.466	1077.62	8.85
1711.08	7.332	1078.11	14.2	1078.11	8.706
1711.57	7.355	1078.59	13.943	1078.59	8.561
1712.04	7.372	1079.23	13.625	1079.23	8.378
1712.68	7.377	1079.71	13.385	1079.71	8.232
1713.16	7.369	1080.18	13.151	1080.18	8.095
1713.64	7.366	1080.67	12.926	1080.67	7.958
1714.13	7.356	1081.15	12.699	1081.15	7.819
1714.6	7.351	1081.79	12.424	1081.79	7.636
1715.08	7.346	1082.26	12.209	1082.26	7.484
1715.72	7.317	1082.74	12.02	1082.74	7.339
1716.21	7.294	1083.23	11.833	1083.23	7.191
1716.69	7.26	1083.71	11.652	1083.71	7.048
1717.16	7.223	1084.35	11.398	1084.35	6.862
1717.64	7.195	1084.82	11.187	1084.82	6.709
1718.13	7.173	1085.31	10.987	1085.31	6.556
1718.77	7.152	1085.79	10.771	1085.79	6.436
1719.24	7.144	1086.26	10.559	1086.26	6.324
1719.72	7.133	1086.9	10.293	1086.9	6.195
1720.2	7.128	1087.39	10.073	1087.39	6.104
1720.69	7.13	1087.87	9.853	1087.87	6.023
1721.33	7.137	1088.35	9.642	1088.35	5.941
1721.8	7.142	1088.82	9.445	1088.82	5.863
1722.28	7.138	1089.31	9.261	1089.31	5.792
1722.77	7.127	1089.95	9.038	1089.95	5.694
1723.23	7.112	1090.43	8.865	1090.43	5.589
1723.88	7.09	1090.9	8.713	1090.9	5.47
1724.36	7.068	1091.38	8.558	1091.38	5.328
1724.84	7.043	1091.87	8.419	1091.87	5.182
1725.33	7.015	1092.51	8.239	1092.51	4.985
1725.8	6.983	1092.99	8.092	1092.99	4.815
1726.28	6.964	1093.46	7.951	1093.46	4.646
1726.92	6.927	1093.95	7.818	1093.95	4.484
1727.41	6.894	1094.43	7.686	1094.43	4.318
1727.89	6.826	1095.07	7.51	1095.07	4.116
1728.36	6.75	1095.56	7.368	1095.56	3.963
1728.84	6.658	1096.02	7.228	1096.02	3.824
1729.48	6.529	1096.51	7.09	1096.51	3.69
1729.97	6.442	1096.99	6.953	1096.99	3.552
1730.44	6.385	1097.63	6.769	1097.63	3.39
1730.92	6.347	1098.1	6.628	1098.1	3.256
1731.41	6.322	1098.58	6.487	1098.58	3.129
1732.05	6.311	1099.07	6.344	1099.07	2.996
1732.53	6.316	1099.55	6.207	1099.55	2.872
1733	6.3	1100.02	6.061	1100.02	2.745
1733.48	6.285	1100.66	5.876	1100.66	2.575
1733.97	6.264	1101.15	5.73	1101.15	2.446
1734.61	6.221	1101.63	5.584	1101.63	2.315
1735.08	6.224	1102.1	5.447	1102.1	2.199
1735.56	6.229	1102.58	5.314	1102.58	2.081
1736.05	6.204	1103.07	5.189	1103.07	1.97
1736.53	6.17	1103.71	5.024	1103.71	1.826
1737.17	6.115	1104.19	4.905	1104.19	1.715
1737.64	6.059	1104.66	4.787	1104.66	1.603
1738.12	5.992	1105.15	4.671	1105.15	1.494
1738.61	5.913	1105.63	4.57	1105.63	1.388
1739.07	5.816	1106.11	4.473	1106.11	1.284
1739.56	5.692	1106.76	4.329	1106.76	1.147
